Design,Team,Plants
Plot,1,1
Plot,1,2
Plot,1,1
Plot,1,0
Plot,1,0
Plot,1,0
Plot,1,0
Plot,1,2
Plot,1,0
Plot,1,0
Plot,2,0
Plot,2,3
Plot,2,3
Plot,2,2
Plot,2,0
Plot,2,1
Plot,2,3
Plot,2,2
Plot,2,0
Plot,2,0
Plot,3,2
Plot,3,2
Plot,3,1
Plot,3,0
Plot,3,0
Plot,3,0
Plot,3,0
Plot,3,0
Plot,3,0
Plot,3,1
Plot,4,0
Plot,4,0
Plot,4,0
Plot,4,0
Plot,4,0
Plot,4,0
Plot,4,1
Plot,4,2
Plot,4,0
Plot,4,0
Plot,5,4
Plot,5,5
Plot,5,0
Plot,5,0
Plot,5,0
Plot,5,0
Plot,5,1
Plot,5,4
Plot,5,0
Plot,5,0
Quadrat,1,8
Quadrat,1,0
Quadrat,1,0
Quadrat,1,1
Quadrat,1,1
Quadrat,2,4
Quadrat,2,1
Quadrat,2,7
Quadrat,2,0
Quadrat,2,7
Quadrat,3,3
Quadrat,3,1
Quadrat,3,2
Quadrat,3,6
Quadrat,3,2
Quadrat,4,0
Quadrat,4,0
Quadrat,4,0
Quadrat,4,1
Quadrat,4,5
Quadrat,5,1
Quadrat,5,7
Quadrat,5,5
Quadrat,5,0
Quadrat,5,4
Transect,1,49
Transect,2,137
Transect,3,48
Transect,4,43
Transect,5,174